portfolio_id,ticker,sector,investment_horizon,shares_held,current_price,cost_basis_per_share,total_position_cost,position_dollars,total_portfolio_value,weight,stock_beta,target_beta,actual_beta,stock_sharpe,portfolio_sharpe,weekly_return,weekly_dollar_change,monthly_return,monthly_dollar_change,ytd_return,ytd_dollar_change,one_year_return,one_year_dollar_change,portfolio_inception
1,VMC,Basic Materials,Long Term,5.4801,$450.29,$262.18,"$1,436.77","$2,467.64","$56,665.95",4.35%,0.75,0.87,0.81,-0.40,-0.14,-0.01%,$-0.12,-0.04%,$-0.53,-0.45%,$-6.42,-7.92%,$-113.85,2007-07-21
1,EMN,Basic Materials,Long Term,9.3254,$261.80,$188.03,"$1,753.45","$2,441.39","$56,665.95",4.31%,1.01,0.87,0.81,-0.84,-0.14,-0.06%,$-1.11,-0.27%,$-4.77,-3.31%,$-58.03,-58.70%,"$-1,029.34",2007-07-21
1,CHTR,Communication Services,Long Term,4.5085,$567.13,$488.28,"$2,201.41","$2,556.89","$56,665.95",4.51%,0.77,0.87,0.81,0.68,-0.14,-0.03%,$-0.74,-0.15%,$-3.19,-1.76%,$-38.84,-31.29%,$-688.90,2007-07-21
1,CMCSA,Communication Services,Long Term,94.9671,$24.94,$15.60,"$1,481.49","$2,368.48","$56,665.95",4.18%,0.63,0.87,0.81,-0.62,-0.14,0.13%,$1.87,0.54%,$8.01,6.58%,$97.45,116.67%,"$1,728.40",2007-07-21
1,TMUS,Communication Services,Long Term,2.1536,$912.31,$686.55,"$1,478.55","$1,964.77","$56,665.95",3.47%,0.33,0.87,0.81,2.03,-0.14,-0.07%,$-1.00,-0.29%,$-4.27,-3.51%,$-51.90,-62.26%,$-920.59,2007-07-21
1,COP,Energy,Long Term,10.6025,$167.52,$108.59,"$1,151.33","$1,776.13","$56,665.95",3.13%,0.87,0.87,0.81,-1.35,-0.14,-0.02%,$-0.26,-0.10%,$-1.10,-1.17%,$-13.44,-20.71%,$-238.45,2007-07-21
1,PLD,Real Estate,Long Term,0.0828,$874.32,$579.41,$47.98,$72.42,"$56,665.95",0.13%,0.87,0.87,0.81,-0.75,-0.14,-0.09%,$-0.04,-0.39%,$-0.19,-4.71%,$-2.26,-83.48%,$-40.05,2007-07-21
1,SPG,Real Estate,Long Term,0.1166,$614.85,$550.93,$64.24,$71.69,"$56,665.95",0.13%,0.89,0.87,0.81,-0.00,-0.14,-0.08%,$-0.05,-0.34%,$-0.22,-4.12%,$-2.65,-73.16%,$-47.00,2007-07-21
1,DLR,Real Estate,Long Term,3.7619,$18.77,$21.69,$81.60,$70.61,"$56,665.95",0.12%,0.82,0.87,0.81,0.04,-0.14,0.61%,$0.50,2.63%,$2.14,31.98%,$26.09,567.24%,$462.85,2007-07-21
1,BXP,Real Estate,Long Term,0.6753,$103.48,$98.18,$66.30,$69.88,"$56,665.95",0.12%,0.94,0.87,0.81,-0.07,-0.14,-0.04%,$-0.03,-0.18%,$-0.12,-2.18%,$-1.45,-38.72%,$-25.67,2007-07-21
2,QQQ,Nasdaq-100 Index ETF,Long Term,595.1828,$151.70,$82.29,"$48,977.59","$90,289.23","$464,788.54",19.43%,1.22,1.35,1.22,0.03,-0.73,0.54%,$265.42,2.32%,"$1,137.50",28.26%,"$13,839.63",452.04%,"$221,396.10",2009-04-16
2,SPY,S&P 500 Index ETF,Long Term,285.6492,$300.08,$382.55,"$109,275.10","$85,717.62","$464,788.54",18.44%,1.00,1.35,1.22,0.04,-0.73,0.05%,$52.10,0.20%,$223.30,2.49%,"$2,716.81",39.77%,"$43,461.53",2009-04-16
2,COF,Financial Services,Long Term,132.5369,$289.80,$352.75,"$46,752.39","$38,409.18","$464,788.54",8.26%,1.37,1.35,1.22,0.43,-0.73,-0.07%,$-30.50,-0.28%,$-130.73,-3.40%,"$-1,590.51",-54.42%,"$-25,443.77",2009-04-16
2,GS,Financial Services,Long Term,50.639,$754.66,$387.84,"$19,639.83","$38,215.20","$464,788.54",8.22%,1.32,1.35,1.22,0.71,-0.73,0.03%,$6.64,0.14%,$28.45,1.76%,$346.15,28.19%,"$5,537.37",2009-04-16
2,MS,Financial Services,Long Term,108.3155,$345.65,$452.85,"$49,050.67","$37,439.25","$464,788.54",8.06%,1.28,1.35,1.22,0.72,-0.73,-0.09%,$-44.67,-0.39%,$-191.46,-4.75%,"$-2,329.45",-75.97%,"$-37,264.86",2009-04-16
2,CE,Basic Materials,Long Term,48.5248,$971.01,$1286.66,"$62,434.92","$47,118.03","$464,788.54",10.14%,1.41,1.35,1.22,-2.27,-0.73,-0.12%,$-72.65,-0.50%,$-311.34,-6.07%,"$-3,787.98",-97.06%,"$-60,597.28",2009-04-16
2,ALB,Basic Materials,Long Term,75.3973,$550.84,$574.62,"$43,324.80","$41,531.87","$464,788.54",8.94%,1.64,1.35,1.22,-1.23,-0.73,-0.11%,$-46.86,-0.46%,$-200.84,-5.64%,"$-2,443.53",-90.22%,"$-39,089.73",2009-04-16
2,EMN,Basic Materials,Long Term,154.0011,$261.80,$188.03,"$28,956.83","$40,317.49","$464,788.54",8.67%,1.01,1.35,1.22,-0.84,-0.73,-0.07%,$-20.38,-0.30%,$-87.34,-3.67%,"$-1,062.60",-58.70%,"$-16,998.64",2009-04-16
2,FMC,Basic Materials,Long Term,119.7371,$294.12,$393.03,"$47,060.27","$35,217.08","$464,788.54",7.58%,0.80,1.35,1.22,-0.75,-0.73,-0.11%,$-51.09,-0.47%,$-218.97,-5.66%,"$-2,664.20",-90.56%,"$-42,619.82",2009-04-16
2,NOW,Technology,Long Term,10.9437,$321.93,$246.82,"$2,701.12","$3,523.12","$464,788.54",0.76%,1.32,1.35,1.22,0.13,-0.73,0.26%,$7.01,1.11%,$30.05,13.54%,$365.65,216.55%,"$5,849.35",2009-04-16
2,ORCL,Technology,Long Term,4.8628,$720.82,$694.80,"$3,378.67","$3,505.23","$464,788.54",0.75%,1.39,1.35,1.22,0.27,-0.73,-0.10%,$-3.28,-0.42%,$-14.06,-5.06%,$-171.04,-80.99%,"$-2,736.25",2009-04-16
2,TXN,Technology,Long Term,4.4381,$789.81,$729.49,"$3,237.55","$3,505.23","$464,788.54",0.75%,1.39,1.35,1.22,-0.31,-0.73,-0.10%,$-3.09,-0.41%,$-13.24,-4.98%,$-161.14,-79.62%,"$-2,577.74",2009-04-16
3,SPY,S&P 500 Index ETF,Medium Term,4.2172,$300.08,$382.55,"$1,613.29","$1,265.51","$10,752.27",11.77%,1.00,1.12,1.05,0.04,0.20,0.04%,$0.68,0.18%,$2.93,2.21%,$35.61,39.77%,$641.65,2007-04-09
3,IVV,S&P 500 Index ETF,Medium Term,3.4654,$360.94,$495.70,"$1,717.80","$1,250.79","$10,752.27",11.63%,0.97,1.12,1.05,0.03,0.20,0.01%,$0.15,0.04%,$0.65,0.46%,$7.92,8.31%,$142.67,2007-04-09
3,EL,Consumer Defensive,Medium Term,0.1422,$81.15,$87.62,$12.46,$11.54,"$10,752.27",0.11%,1.18,1.12,1.05,-1.73,0.20,-0.04%,$-0.00,-0.17%,$-0.02,-2.06%,$-0.26,-37.16%,$-4.63,2007-04-09
3,CHTR,Communication Services,Medium Term,3.2398,$567.13,$488.28,"$1,581.93","$1,837.36","$10,752.27",17.09%,0.77,1.12,1.05,0.68,0.20,-0.03%,$-0.53,-0.14%,$-2.26,-1.74%,$-27.47,-31.29%,$-495.04,2007-04-09
3,PYPL,Financial Services,Medium Term,8.494,$297.44,$357.07,"$3,032.95","$2,526.45","$10,752.27",23.50%,1.13,1.12,1.05,-0.06,0.20,-0.09%,$-2.66,-0.38%,$-11.41,-4.58%,$-138.82,-82.48%,"$-2,501.48",2007-04-09
3,C,Financial Services,Medium Term,2.6186,$926.04,$615.73,"$1,612.35","$2,424.89","$10,752.27",22.55%,1.21,1.12,1.05,0.12,0.20,-0.10%,$-1.54,-0.41%,$-6.61,-4.99%,$-80.45,-89.90%,"$-1,449.57",2007-04-09
3,CRM,Technology,Medium Term,0.6962,$522.86,$710.10,$494.37,$364.04,"$10,752.27",3.39%,1.08,1.12,1.05,-0.33,0.20,-0.07%,$-0.34,-0.29%,$-1.45,-3.56%,$-17.60,-64.16%,$-317.17,2007-04-09
3,GOOG,Technology,Medium Term,1.269,$283.94,$202.40,$256.85,$360.32,"$10,752.27",3.35%,1.06,1.12,1.05,-0.01,0.20,-0.02%,$-0.06,-0.10%,$-0.25,-1.18%,$-3.04,-21.34%,$-54.81,2007-04-09
3,GOOGL,Technology,Medium Term,0.6427,$557.73,$509.58,$327.51,$358.47,"$10,752.27",3.33%,1.05,1.12,1.05,-0.03,0.20,-0.07%,$-0.24,-0.32%,$-1.03,-3.84%,$-12.58,-69.22%,$-226.71,2007-04-09
3,AAPL,Technology,Medium Term,0.9576,$368.51,$386.27,$369.89,$352.89,"$10,752.27",3.28%,1.22,1.12,1.05,0.41,0.20,-0.05%,$-0.19,-0.22%,$-0.82,-2.70%,$-10.00,-48.73%,$-180.24,2007-04-09
4,QQQ,Nasdaq-100 Index ETF,Long Term,86.8891,$151.70,$82.29,"$7,150.10","$13,181.08","$88,094.66",14.96%,1.22,1.23,1.12,0.03,0.19,0.52%,$37.17,2.23%,$159.30,27.11%,"$1,938.09",452.04%,"$32,321.01",2008-08-11
4,SPY,S&P 500 Index ETF,Long Term,41.8083,$300.08,$382.55,"$15,993.77","$12,545.84","$88,094.66",14.24%,1.00,1.23,1.12,0.04,0.19,0.05%,$7.32,0.20%,$31.35,2.38%,$381.44,39.77%,"$6,361.13",2008-08-11
4,AXP,Financial Services,Long Term,13.342,$774.44,$947.99,"$12,648.08","$10,332.56","$88,094.66",11.73%,1.24,1.23,1.12,0.48,0.19,-0.08%,$-10.68,-0.36%,$-45.79,-4.40%,$-557.06,-73.45%,"$-9,289.90",2008-08-11
4,C,Financial Services,Long Term,11.1017,$926.04,$615.73,"$6,835.65","$10,280.63","$88,094.66",11.67%,1.21,1.23,1.12,0.12,0.19,-0.10%,$-7.07,-0.44%,$-30.29,-5.39%,$-368.51,-89.90%,"$-6,145.51",2008-08-11
4,MS,Financial Services,Long Term,29.2923,$345.65,$452.85,"$13,265.02","$10,124.87","$88,094.66",11.49%,1.28,1.23,1.12,0.72,0.19,-0.09%,$-11.59,-0.37%,$-49.67,-4.56%,$-604.30,-75.97%,"$-10,077.72",2008-08-11
4,GS,Financial Services,Long Term,13.1413,$754.66,$387.84,"$5,096.72","$9,917.18","$88,094.66",11.26%,1.32,1.23,1.12,0.71,0.19,0.03%,$1.65,0.14%,$7.08,1.69%,$86.17,28.19%,"$1,437.00",2008-08-11
4,DHR,Healthcare,Long Term,10.1992,$528.61,$746.60,"$7,614.72","$5,391.38","$88,094.66",6.12%,0.83,1.23,1.12,-0.89,0.19,-0.09%,$-6.54,-0.37%,$-28.03,-4.48%,$-341.04,-74.69%,"$-5,687.38",2008-08-11
4,TMO,Healthcare,Long Term,14.845,$333.67,$272.06,"$4,038.73","$4,953.33","$88,094.66",5.62%,0.70,1.23,1.12,-1.12,0.19,0.07%,$2.85,0.30%,$12.20,3.67%,$148.41,61.28%,"$2,474.96",2008-08-11
4,LLY,Healthcare,Long Term,99.5073,$49.44,$67.54,"$6,720.72","$4,919.64","$88,094.66",5.58%,0.69,1.23,1.12,-0.08,0.19,1.13%,$76.01,4.85%,$325.77,58.97%,"$3,963.53",983.51%,"$66,098.72",2008-08-11
4,EMR,Industrials,Long Term,5.02,$431.07,$333.24,"$1,672.86","$2,163.96","$88,094.66",2.46%,1.21,1.23,1.12,-0.37,0.19,-0.08%,$-1.34,-0.34%,$-5.76,-4.19%,$-70.05,-69.84%,"$-1,168.25",2008-08-11
4,BA,Industrials,Long Term,3.1048,$689.94,$696.87,"$2,163.64","$2,142.10","$88,094.66",2.43%,1.19,1.23,1.12,-0.17,0.19,-0.09%,$-1.93,-0.38%,$-8.27,-4.65%,$-100.57,-77.51%,"$-1,677.12",2008-08-11
4,GE,Industrials,Long Term,2.6199,$817.63,$421.82,"$1,105.13","$2,142.10","$88,094.66",2.43%,1.19,1.23,1.12,0.47,0.19,-0.07%,$-0.72,-0.28%,$-3.09,-3.41%,$-37.64,-56.80%,$-627.71,2008-08-11
5,VOO,S&P 500 Index ETF,Medium Term,2369.8944,$11.93,$10.77,"$25,523.76","$28,272.84","$235,054.31",12.03%,0.95,0.91,0.83,0.03,0.13,4.82%,"$1,230.22",20.66%,"$5,272.36",251.32%,"$64,147.00",4457.71%,"$1,137,774.45",2007-07-21
5,IVV,S&P 500 Index ETF,Medium Term,77.7422,$360.94,$495.70,"$38,536.81","$28,060.26","$235,054.31",11.94%,0.97,0.91,0.83,0.03,0.13,0.01%,$3.46,0.04%,$14.83,0.47%,$180.45,8.31%,"$3,200.65",2007-07-21
5,SPY,S&P 500 Index ETF,Medium Term,92.4466,$300.08,$382.55,"$35,365.45","$27,741.39","$235,054.31",11.80%,1.00,0.91,0.83,0.04,0.13,0.04%,$15.21,0.18%,$65.18,2.24%,$793.02,39.77%,"$14,065.75",2007-07-21
5,VTI,Total US Market ETF,Medium Term,762.0251,$35.01,$29.98,"$22,845.51","$26,678.50","$235,054.31",11.35%,1.00,0.91,0.83,-0.02,0.13,0.84%,$190.95,3.58%,$818.35,43.58%,"$9,956.56",773.02%,"$176,599.32",2007-07-21
5,PEG,Utilities,Medium Term,391.2457,$164.36,$172.92,"$67,654.21","$64,305.15","$235,054.31",27.36%,0.51,0.91,0.83,0.89,0.13,-0.06%,$-38.37,-0.24%,$-164.46,-2.96%,"$-2,000.90",-52.46%,"$-35,489.90",2007-07-21
5,MMM,Industrials,Medium Term,2.5336,$410.42,$253.66,$642.67,"$1,039.86","$235,054.31",0.44%,0.90,0.91,0.83,1.13,0.13,-0.05%,$-0.32,-0.22%,$-1.39,-2.62%,$-16.86,-46.54%,$-299.09,2007-07-21
5,SPG,Real Estate,Medium Term,21.5602,$614.85,$550.93,"$11,878.16","$13,256.26","$235,054.31",5.64%,0.89,0.91,0.83,-0.00,0.13,-0.08%,$-9.40,-0.34%,$-40.27,-4.12%,$-489.96,-73.16%,"$-8,690.44",2007-07-21
5,BXP,Real Estate,Medium Term,127.4576,$103.48,$98.18,"$12,513.79","$13,189.31","$235,054.31",5.61%,0.94,0.91,0.83,-0.07,0.13,-0.04%,$-5.24,-0.18%,$-22.45,-2.18%,$-273.17,-38.72%,"$-4,845.30",2007-07-21
5,PLD,Real Estate,Medium Term,15.0086,$874.32,$579.41,"$8,696.13","$13,122.36","$235,054.31",5.58%,0.87,0.91,0.83,-0.75,0.13,-0.09%,$-7.85,-0.39%,$-33.64,-4.71%,$-409.28,-83.48%,"$-7,259.36",2007-07-21
5,EMN,Basic Materials,Medium Term,18.8115,$261.80,$188.03,"$3,537.13","$4,924.85","$235,054.31",2.10%,1.01,0.91,0.83,-0.84,0.13,-0.06%,$-2.25,-0.27%,$-9.62,-3.31%,$-117.07,-58.70%,"$-2,076.41",2007-07-21
5,FMC,Basic Materials,Medium Term,16.6562,$294.12,$393.03,"$6,546.39","$4,898.93","$235,054.31",2.08%,0.80,0.91,0.83,-0.75,0.13,-0.10%,$-6.41,-0.42%,$-27.47,-5.11%,$-334.26,-90.56%,"$-5,928.69",2007-07-21
5,MLM,Basic Materials,Medium Term,459.7555,$10.43,$13.20,"$6,068.77","$4,795.25","$235,054.31",2.04%,0.76,0.91,0.83,-0.84,0.13,3.94%,$239.34,16.90%,"$1,025.76",205.64%,"$12,480.05",3647.50%,"$221,358.48",2007-07-21
5,VMC,Basic Materials,Medium Term,10.5917,$450.29,$262.18,"$2,776.93","$4,769.33","$235,054.31",2.03%,0.75,0.91,0.83,-0.40,0.13,-0.01%,$-0.24,-0.04%,$-1.02,-0.45%,$-12.41,-7.92%,$-220.04,2007-07-21
6,QQQ,Nasdaq-100 Index ETF,Long Term,30.6065,$151.70,$82.29,"$2,518.61","$4,643.01","$48,416.28",9.59%,1.22,1.54,1.18,0.03,-1.11,0.52%,$13.09,2.23%,$56.11,27.11%,$682.69,452.04%,"$11,385.01",2008-08-11
6,SPY,S&P 500 Index ETF,Long Term,14.6209,$300.08,$382.55,"$5,593.23","$4,387.43","$48,416.28",9.06%,1.00,1.54,1.18,0.04,-1.11,0.05%,$2.56,0.20%,$10.96,2.38%,$133.39,39.77%,"$2,224.57",2008-08-11
6,IVV,S&P 500 Index ETF,Long Term,11.9786,$360.94,$495.70,"$5,937.79","$4,323.54","$48,416.28",8.93%,0.97,1.54,1.18,0.03,-1.11,0.01%,$0.57,0.04%,$2.43,0.50%,$29.57,8.31%,$493.16,2008-08-11
6,ROKU,Communication Services,Long Term,2.9066,$780.29,$664.27,"$1,930.77","$2,267.98","$48,416.28",4.68%,1.90,1.54,1.18,0.18,-1.11,-0.10%,$-2.02,-0.45%,$-8.66,-5.46%,$-105.34,-90.99%,"$-1,756.78",2008-08-11
6,CHTR,Communication Services,Long Term,2.9993,$567.13,$488.28,"$1,464.50","$1,700.99","$48,416.28",3.51%,0.77,1.54,1.18,0.68,-1.11,-0.04%,$-0.53,-0.15%,$-2.26,-1.88%,$-27.48,-31.29%,$-458.29,2008-08-11
6,CMCSA,Communication Services,Long Term,60.4403,$24.94,$15.60,$942.87,"$1,507.38","$48,416.28",3.11%,0.63,1.54,1.18,-0.62,-1.11,0.13%,$1.27,0.57%,$5.42,7.00%,$65.96,116.67%,"$1,100.01",2008-08-11
6,TMUS,Communication Services,Long Term,1.1975,$912.31,$686.55,$822.14,"$1,092.50","$48,416.28",2.26%,0.33,1.54,1.18,2.03,-1.11,-0.07%,$-0.59,-0.31%,$-2.52,-3.73%,$-30.69,-62.26%,$-511.89,2008-08-11
6,ALB,Basic Materials,Long Term,3.6749,$550.84,$574.62,"$2,111.67","$2,024.28","$48,416.28",4.18%,1.64,1.54,1.18,-1.23,-1.11,-0.10%,$-2.19,-0.44%,$-9.39,-5.41%,$-114.25,-90.22%,"$-1,905.25",2008-08-11
6,CE,Basic Materials,Long Term,2.0518,$971.01,$1286.66,"$2,639.97","$1,992.31","$48,416.28",4.11%,1.41,1.54,1.18,-2.27,-1.11,-0.11%,$-2.95,-0.48%,$-12.63,-5.82%,$-153.64,-97.06%,"$-2,562.27",2008-08-11
6,EMN,Basic Materials,Long Term,5.9822,$261.80,$188.03,"$1,124.83","$1,566.15","$48,416.28",3.23%,1.01,1.54,1.18,-0.84,-1.11,-0.07%,$-0.76,-0.29%,$-3.25,-3.52%,$-39.60,-58.70%,$-660.32,2008-08-11
6,DFS,Financial Services,Long Term,30.3724,$69.31,$85.07,"$2,583.78","$2,105.11","$48,416.28",4.35%,1.45,1.54,1.18,0.68,-1.11,0.10%,$2.51,0.42%,$10.76,5.07%,$130.94,84.51%,"$2,183.62",2008-08-11
6,COF,Financial Services,Long Term,6.9598,$289.80,$352.75,"$2,455.07","$2,016.94","$48,416.28",4.17%,1.37,1.54,1.18,0.43,-1.11,-0.06%,$-1.54,-0.27%,$-6.59,-3.26%,$-80.12,-54.42%,"$-1,336.11",2008-08-11
6,GS,Financial Services,Long Term,2.5996,$754.66,$387.84,"$1,008.23","$1,961.83","$48,416.28",4.05%,1.32,1.54,1.18,0.71,-1.11,0.03%,$0.33,0.14%,$1.40,1.69%,$17.05,28.19%,$284.27,2008-08-11
6,APA,Energy,Long Term,13.881,$293.89,$326.44,"$4,531.31","$4,079.50","$48,416.28",8.43%,1.49,1.54,1.18,-1.52,-1.11,-0.11%,$-4.97,-0.47%,$-21.30,-5.72%,$-259.17,-95.38%,"$-4,322.13",2008-08-11
6,DVN,Energy,Long Term,5.7367,$619.95,$317.35,"$1,820.54","$3,556.49","$48,416.28",7.35%,1.24,1.54,1.18,-1.60,-1.11,-0.10%,$-1.91,-0.45%,$-8.17,-5.46%,$-99.46,-91.11%,"$-1,658.65",2008-08-11
6,DHR,Healthcare,Long Term,0.6692,$528.61,$746.60,$499.62,$353.77,"$48,416.28",0.73%,0.83,1.54,1.18,-0.89,-1.11,-0.09%,$-0.43,-0.37%,$-1.84,-4.48%,$-22.38,-74.69%,$-373.17,2008-08-11
6,TMO,Healthcare,Long Term,0.9534,$333.67,$272.06,$259.38,$318.12,"$48,416.28",0.66%,0.70,1.54,1.18,-1.12,-1.11,0.07%,$0.18,0.30%,$0.78,3.67%,$9.53,61.28%,$158.95,2008-08-11
6,EL,Consumer Defensive,Long Term,59.5723,$81.15,$87.62,"$5,219.72","$4,834.29","$48,416.28",9.98%,1.18,1.54,1.18,-1.73,-1.11,-0.04%,$-2.23,-0.18%,$-9.56,-2.23%,$-116.31,-37.16%,"$-1,939.67",2008-08-11
6,TGT,Consumer Defensive,Long Term,8.6422,$426.36,$418.42,"$3,616.07","$3,684.67","$48,416.28",7.61%,0.79,1.54,1.18,-1.44,-1.11,-0.09%,$-3.24,-0.38%,$-13.87,-4.67%,$-168.80,-77.85%,"$-2,815.11",2008-08-11
7,VOO,S&P 500 Index ETF,Short Term,2097.9966,$11.93,$10.77,"$22,595.42","$25,029.10","$228,452.55",10.96%,0.95,0.81,0.84,0.03,-0.49,5.13%,"$1,158.32",21.97%,"$4,964.21",267.30%,"$60,397.86",4457.71%,"$1,007,237.68",2008-08-11
7,IVV,S&P 500 Index ETF,Short Term,68.8228,$360.94,$495.70,"$34,115.46","$24,840.91","$228,452.55",10.87%,0.97,0.81,0.84,0.03,-0.49,0.01%,$3.26,0.04%,$13.96,0.50%,$169.90,8.31%,"$2,833.43",2008-08-11
7,SPY,S&P 500 Index ETF,Short Term,81.8403,$300.08,$382.55,"$31,308.01","$24,558.63","$228,452.55",10.75%,1.00,0.81,0.84,0.04,-0.49,0.05%,$14.32,0.20%,$61.37,2.38%,$746.67,39.77%,"$12,452.00",2008-08-11
7,CSCO,Technology,Short Term,47.0461,$507.32,$460.87,"$21,682.14","$23,867.43","$228,452.55",10.45%,0.82,0.81,0.84,0.59,-0.49,-0.10%,$-21.82,-0.43%,$-93.52,-5.25%,"$-1,137.86",-87.52%,"$-18,975.81",2008-08-11
7,MTCH,Technology,Short Term,32.2702,$732.18,$965.24,"$31,148.49","$23,627.56","$228,452.55",10.34%,0.84,0.81,0.84,-0.33,-0.49,-0.11%,$-34.76,-0.48%,$-148.97,-5.82%,"$-1,812.50",-97.04%,"$-30,226.53",2008-08-11
7,FMC,Basic Materials,Short Term,63.7996,$294.12,$393.03,"$25,075.16","$18,764.73","$228,452.55",8.21%,0.80,0.81,0.84,-0.75,-0.49,-0.10%,$-26.12,-0.45%,$-111.92,-5.43%,"$-1,361.73",-90.56%,"$-22,709.15",2008-08-11
7,MLM,Basic Materials,Short Term,1762.9482,$10.43,$13.20,"$23,270.92","$18,387.55","$228,452.55",8.05%,0.76,0.81,0.84,-0.84,-0.49,4.19%,$976.12,17.98%,"$4,183.37",218.72%,"$50,897.72",3647.50%,"$848,806.67",2008-08-11
7,DHR,Healthcare,Short Term,34.1026,$528.61,$746.60,"$25,461.00","$18,027.00","$228,452.55",7.89%,0.83,0.81,0.84,-0.89,-0.49,-0.09%,$-21.87,-0.37%,$-93.72,-4.48%,"$-1,140.31",-74.69%,"$-19,016.63",2008-08-11
7,TMO,Healthcare,Short Term,51.5707,$333.67,$272.06,"$14,030.32","$17,207.59","$228,452.55",7.53%,0.70,0.81,0.84,-1.12,-0.49,0.07%,$9.89,0.30%,$42.37,3.67%,$515.56,61.28%,"$8,597.87",2008-08-11
7,LLY,Healthcare,Short Term,346.2083,$49.44,$67.54,"$23,382.91","$17,116.54","$228,452.55",7.49%,0.69,0.81,0.84,-0.08,-0.49,1.13%,$264.47,4.85%,"$1,133.43",58.97%,"$13,790.03",983.51%,"$229,972.33",2008-08-11
7,SYK,Healthcare,Short Term,17.8085,$956.03,$512.61,"$9,128.82","$17,025.50","$228,452.55",7.45%,0.68,0.81,0.84,-0.03,-0.49,-0.04%,$-3.33,-0.16%,$-14.27,-1.90%,$-173.63,-31.72%,"$-2,895.57",2008-08-11
8,VEA,Developed Markets ETF,Long Term,641.541,$19.13,$10.38,"$6,659.20","$12,272.68","$149,741.96",8.20%,0.71,0.64,0.69,-0.16,1.23,0.47%,$31.14,2.00%,$133.45,24.38%,"$1,623.69",375.63%,"$25,013.68",2009-11-18
8,VWO,Emerging Markets ETF,Long Term,42.9646,$281.13,$218.67,"$9,395.07","$12,078.64","$149,741.96",8.07%,0.63,0.64,0.69,-0.05,1.23,-0.10%,$-9.39,-0.43%,$-40.25,-5.21%,$-489.72,-80.30%,"$-7,544.37",2009-11-18
8,VOO,S&P 500 Index ETF,Long Term,931.1375,$11.93,$10.77,"$10,028.35","$11,108.47","$149,741.96",7.42%,0.95,0.64,0.69,0.03,1.23,5.55%,$556.51,23.78%,"$2,385.03",289.36%,"$29,017.89",4457.71%,"$447,034.46",2009-11-18
